Library ID,Book ID,Patron ID,Order ID,Transaction ID,Fine ID
L1,201,101,1001,1,1
L2,202,102,1002,2,2
L3,203,103,1003,3,3
L4,204,104,1004,4,4
L5,205,105,1005,5,5
L6,206,106,1006,6,6
L7,207,107,1007,7,7
L8,208,108,1008,8,8
L9,209,109,1009,9,9
L10,210,110,1010,10,10
L11,211,111,1011,11,11
L12,212,112,1012,12,12
L13,213,113,1013,13,13
L14,214,114,1014,14,14
L15,215,115,1015,15,15
L16,216,116,1016,16,16
L17,217,117,1017,17,17
L18,218,118,1018,18,18
L19,219,119,1019,19,19
L20,220,120,1020,20,20
L21,221,121,1021,21,21
L22,222,122,1022,22,22
L23,223,123,1023,23,23
L24,224,124,1024,24,24
L25,225,125,1025,25,25
L26,226,126,1026,26,26
L27,227,127,1027,27,27
L28,228,128,1028,28,28
L29,229,129,1029,29,29
L30,230,130,1030,30,30
